Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other (U/O) Count,U/O Average Years in Title,U/O Average Years at School
2020,,01M015,,,,23,,*,*,*,*,,,*,,,*,*,*,*,,,17,7.6,4.9,*,*,*,*,,
2020,,01M019,,,,39,,*,*,*,*,,,*,,,*,*,*,9,10.6,9.3,26,9.7,7.7,*,*,*,*,,
2020,,01M020,,,,35,,*,*,*,11,6.1,4.6,*,,,*,*,*,7,11.6,8.5,15,9.3,5.5,*,*,*,*,,
2020,,01M034,,,,33,,*,*,*,*,,,*,,,*,*,*,10,8.3,5.9,20,4.1,2.2,*,*,*,*,,
2020,,01M063,,,,24,,*,*,*,*,,,*,,,*,*,*,*,,,17,5.4,2.8,*,*,*,*,,
2020,,01M064,,,,23,,*,*,*,*,,,*,,,*,*,*,*,,,20,9.2,6.3,*,*,*,*,,
2020,,01M110,,,,26,,*,*,*,*,,,*,,,*,*,*,*,,,20,8.9,7.0,*,*,*,*,,
2020,,01M134,,,,31,,*,*,*,5,11.1,9.0,*,,,*,*,*,*,,,20,11.4,8.3,*,*,*,*,,
2020,,01M140,,,,39,,*,*,*,*,,,*,,,*,*,*,11,11.4,8.8,21,9.8,6.6,*,*,*,*,,
2020,,01M142,,,,38,,*,*,*,5,7.4,5.0,5,3.4,0.8,*,*,*,8,6.1,5.5,20,5.2,2.4,*,*,*,*,,
2020,,01M184,,,,55,,*,*,*,40,5.8,5.0,*,,,*,*,*,*,,,14,6.6,4.5,*,*,*,*,,
2020,,01M188,,,,39,,*,*,*,*,,,8,14.4,4.6,*,*,*,16,8.8,7.0,11,13.6,11.1,*,*,*,*,,
2020,,01M315,,,,23,,*,*,*,*,,,*,,,*,*,*,*,,,17,7.4,4.2,*,*,*,*,,
2020,,01M332,,,,30,,*,*,*,6,5.4,3.5,*,,,*,*,*,*,,,15,6.6,3.1,*,*,*,*,,
2020,,01M361,,,,28,,*,*,*,*,,,*,,,*,*,*,5,13.0,9.4,14,11.3,8.7,*,*,*,*,,
2020,,01M363,,,,24,,*,*,*,*,,,*,,,*,*,*,*,,,13,11.8,7.3,*,*,*,*,,
2020,,01M364,,,,30,,*,*,*,*,,,5,9.5,7.7,*,*,*,*,,,19,10.1,7.7,*,*,*,*,,
2020,,01M378,,,,25,,*,*,*,5,4.4,4.0,*,,,*,*,*,*,,,16,5.5,3.5,*,*,*,*,,
2020,,01M839,,,,30,,*,*,*,*,,,7,9.4,6.2,*,*,*,*,,,17,10.8,7.3,*,*,*,*,,
2020,,02M001,,,,25,,*,*,*,17,18.6,16.8,*,,,*,*,*,*,,,5,11.4,11.1,*,*,*,*,,
2020,,02M002,,,,42,,*,*,*,19,11.1,10.1,*,,,*,*,*,*,,,15,12.2,10.3,*,*,*,*,,
2020,,02M003,,,,51,,*,*,*,7,13.0,12.1,*,,,*,*,*,*,,,40,10.7,8.3,*,*,*,*,,
2020,,02M006,,,,40,,*,*,*,*,,,*,,,*,*,*,*,,,36,10.3,9.0,*,*,*,*,,
2020,,02M011,,,,57,,*,*,*,*,,,*,,,*,*,*,*,,,48,8.5,5.9,*,*,*,*,,
2020,,02M033,,,,39,,*,*,*,*,,,*,,,*,*,*,*,,,28,8.3,6.9,*,*,*,*,,
2020,,02M040,,,,40,,*,*,*,*,,,*,,,*,*,*,5,14.4,8.7,32,10.2,8.2,*,*,*,*,,
2020,,02M041,,,,45,,*,*,*,9,9.5,8.2,*,,,*,*,*,*,,,30,12.8,10.3,*,*,*,*,,
2020,,02M042,,,,54,,*,*,*,39,13.6,13.3,*,,,*,*,*,*,,,10,9.0,8.5,*,*,*,*,,
2020,,02M051,,,,37,,*,*,*,*,,,*,,,*,*,*,*,,,27,7.3,4.4,*,*,*,*,,
2020,,02M059,,,,43,,*,*,*,*,,,*,,,*,*,*,*,,,35,7.8,6.6,*,*,*,*,,
2020,,02M077,,,,17,,*,*,*,*,,,*,,,*,*,*,*,,,15,9.9,7.9,*,*,*,*,,
2020,,02M089,,,,29,,*,*,*,5,14.9,11.1,*,,,*,*,*,*,,,23,12.1,9.2,*,*,*,*,,
2020,,02M104,,,,69,,*,*,*,9,11.5,9.8,*,,,*,*,*,6,12.3,9.3,52,8.2,5.8,*,*,*,*,,
2020,,02M111,,,,36,,*,*,*,*,,,*,,,*,*,*,6,10.4,10.0,23,10.3,9.2,*,*,*,*,,
2020,,02M114,,,,30,,*,*,*,*,,,*,,,*,*,*,*,,,24,11.3,9.3,*,*,*,*,,
2020,,02M116,,,,33,,*,*,*,9,10.3,9.3,*,,,*,*,*,*,,,20,12.3,11.2,*,*,*,*,,
2020,,02M124,,,,47,,*,*,*,25,17.9,16.0,*,,,*,*,*,*,,,19,10.0,9.0,*,*,*,*,,
2020,,02M126,,,,61,,*,*,*,10,13.0,12.3,*,,,*,*,*,8,11.0,7.8,39,11.5,10.1,*,*,*,*,,
2020,,02M130,,,,53,,*,*,*,32,11.8,11.1,*,,,*,*,*,5,11.9,11.9,15,14.1,12.0,*,*,*,*,,
2020,,02M131,,,,29,,*,*,*,13,10.2,8.2,*,,,*,*,*,*,,,14,13.8,11.5,*,*,*,*,,
2020,,02M150,,,,8,,*,*,*,*,,,*,,,*,*,*,*,,,5,16.2,12.0,*,*,*,*,,
2020,,02M151,,,,36,,*,*,*,*,,,*,,,*,*,*,*,,,32,7.0,4.9,*,*,*,*,,
2020,,02M158,,,,53,,*,*,*,*,,,*,,,*,*,*,*,,,49,5.3,4.8,*,*,*,*,,
2020,,02M167,,,,90,,*,*,*,6,8.6,7.7,5,15.8,9.0,*,*,*,6,6.8,4.1,72,8.8,5.8,*,*,*,*,,
2020,,02M177,,,,20,,*,*,*,*,,,*,,,*,*,*,*,,,16,6.6,3.2,*,*,*,*,,
2020,,02M183,,,,38,,*,*,*,*,,,*,,,*,*,*,*,,,32,10.9,8.4,*,*,*,*,,
